Transcript_ID	nbre_exon	mRNA_length	a5UTR_length	a3UTR_length	CDS	Gene_ID	nbre_intron
AT1G49380.1	8	2047	86	323	1636	AT1G49380	7
AT1G49390.1	4	1148	0	104	1043	AT1G49390	3
AT1G49400.1	3	836	123	362	349	AT1G49400	2
AT1G49405.1	3	456	0	0	456	AT1G49405	2
AT1G49410.1	2	499	0	334	164	AT1G49410	1
AT1G49420.1	3	567	0	0	567	AT1G49420	2
AT1G49430.1	19	2308	144	183	1979	AT1G49430	18
AT1G49435.1	2	278	0	63	214	AT1G49435	1
AT1G49440.1	1	2073	0	0	0	AT1G49440	0
AT1G49450.1	1	2016	142	457	1415	AT1G49450	0
AT1G49460.1	1	36	0	0	0	AT1G49460	0
AT1G49470.1	1	1140	59	171	908	AT1G49470	0
AT1G49475.1	3	901	62	267	570	AT1G49475	2
AT1G49480.1	4	1594	497	417	678	AT1G49480	3
AT1G49490.1	1	2543	0	0	2543	AT1G49490	0
AT1G49500.1	1	989	104	692	191	AT1G49500	0
AT1G49510.1	4	1211	155	334	720	AT1G49510	3
AT1G49520.1	8	1329	39	177	1111	AT1G49520	7
AT1G49530.1	1	1260	99	149	1010	AT1G49530	0
AT1G49540.2	10	2764	106	143	2513	AT1G49540	9
AT1G49550.1	1	989	0	0	0	AT1G49550	0
AT1G49560.1	5	1430	170	261	997	AT1G49560	4
AT1G49570.1	4	1329	40	238	1049	AT1G49570	3
AT1G49580.1	11	2198	152	234	1810	AT1G49580	10
AT1G49590.1	5	1168	210	232	724	AT1G49590	4
AT1G49600.1	6	1682	0	349	1332	AT1G49600	5
AT1G49610.1	5	1060	0	0	1060	AT1G49610	4
AT1G49620.1	4	785	0	200	584	AT1G49620	3
AT1G49630.1	20	3562	44	292	3224	AT1G49630	19
AT1G49640.1	1	1191	84	158	947	AT1G49640	0
AT1G49650.1	1	1382	146	110	1124	AT1G49650	0
AT1G49660.1	1	1102	62	79	959	AT1G49660	0
AT1G49670.2	18	2815	86	786	1941	AT1G49670	17
AT1G49680.1	1	299	0	0	299	AT1G49680	0
AT1G49690.1	1	72	0	0	0	AT1G49690	0
AT1G49700.1	7	833	0	0	833	AT1G49700	6
AT1G49710.1	7	1997	177	283	1535	AT1G49710	6
AT1G49715.1	2	343	0	80	262	AT1G49715	1
AT1G49720.2	5	1584	109	265	1208	AT1G49720	4
AT1G49730.1	9	2228	42	111	2073	AT1G49730	8
AT1G49740.1	7	1837	209	553	1073	AT1G49740	6
AT1G49750.1	2	1753	21	247	1483	AT1G49750	1
AT1G49760.1	9	2561	259	293	2007	AT1G49760	8
AT1G49770.1	3	1175	0	250	924	AT1G49770	2
AT1G49780.1	1	1413	29	117	1265	AT1G49780	0
AT1G49790.2	4	917	0	0	917	AT1G49790	3
AT1G49800.1	1	574	62	184	326	AT1G49800	0
AT1G49810.1	8	1255	0	0	1255	AT1G49810	7
AT1G49820.1	6	1571	122	190	1257	AT1G49820	5
AT1G49830.1	5	748	0	0	748	AT1G49830	4
AT1G49832.1	1	618	0	0	0	AT1G49832	0
AT1G49840.1	3	1856	172	200	1482	AT1G49840	2
AT1G49850.1	3	1112	99	261	750	AT1G49850	2
AT1G49860.1	3	982	43	175	762	AT1G49860	2
AT1G49870.1	5	2843	132	227	2482	AT1G49870	4
AT1G49880.1	6	797	63	162	570	AT1G49880	5
AT1G49890.1	6	2541	206	359	1974	AT1G49890	5
AT1G49900.1	2	2952	0	199	2752	AT1G49900	1
AT1G49910.1	9	1215	0	203	1011	AT1G49910	8
AT1G49920.1	2	2380	0	23	2356	AT1G49920	1
AT1G49930.1	4	401	0	0	401	AT1G49930	3
AT1G49938.1	4	194	0	0	194	AT1G49938	3
AT1G49940.1	10	984	154	143	685	AT1G49940	9
AT1G49950.3	7	1523	301	323	897	AT1G49950	6
AT1G49952.1	3	450	0	0	0	AT1G49952	2
AT1G49960.1	14	1815	60	186	1567	AT1G49960	13
AT1G49970.1	9	1668	146	365	1155	AT1G49970	8
AT1G49975.1	3	596	42	165	387	AT1G49975	2
AT1G49980.1	15	2719	54	661	2002	AT1G49980	14
AT1G49990.1	1	1471	67	110	1292	AT1G49990	0
AT1G50000.1	8	1012	4	123	883	AT1G50000	7
AT1G50010.1	4	1771	150	270	1349	AT1G50010	3
AT1G50020.1	4	919	94	197	626	AT1G50020	3
AT1G50030.1	56	7951	375	184	7390	AT1G50030	55
AT1G50040.1	2	1612	105	124	1381	AT1G50040	1
AT1G50050.1	4	677	0	0	677	AT1G50050	3
AT1G50055.1	1	838	0	0	0	AT1G50055	0
AT1G50060.1	2	616	0	131	484	AT1G50060	1
AT1G50070.1	1	79	0	0	0	AT1G50070	0
AT1G50080.1	1	275	0	0	275	AT1G50080	0
AT1G50090.1	9	1095	0	0	1095	AT1G50090	8
AT1G50100.1	1	79	0	0	0	AT1G50100	0
AT1G50110.1	9	1303	54	185	1062	AT1G50110	8
AT1G50120.1	12	2217	472	156	1587	AT1G50120	11
AT1G50140.1	24	3213	38	185	2988	AT1G50140	23
AT1G50160.1	1	221	0	0	221	AT1G50160	0
AT1G50170.1	6	945	62	209	672	AT1G50170	5
AT1G50180.1	5	2569	0	0	2569	AT1G50180	4
AT1G50190.1	3	1857	0	0	1857	AT1G50190	2
AT1G50200.1	23	3384	169	224	2989	AT1G50200	22
AT1G50220.1	3	609	0	0	609	AT1G50220	2
AT1G50240.2	22	4031	15	67	3947	AT1G50240	21
AT1G50250.1	5	2468	132	188	2146	AT1G50250	4
AT1G50260.1	9	2325	46	257	2020	AT1G50260	8
AT1G50270.1	1	2224	17	415	1790	AT1G50270	0
AT1G50280.1	3	1837	102	158	1575	AT1G50280	2
AT1G50290.1	1	875	171	298	404	AT1G50290	0
AT1G50300.1	8	1480	104	262	1112	AT1G50300	7
AT1G50310.1	4	1550	0	0	1550	AT1G50310	3
AT1G50320.1	2	841	71	221	547	AT1G50320	1
AT1G50325.1	1	614	8	11	593	AT1G50325	0
AT1G50340.1	1	473	0	0	473	AT1G50340	0
AT1G50350.1	2	400	0	0	400	AT1G50350	1
AT1G50360.1	24	4125	415	269	3439	AT1G50360	23
AT1G50370.1	10	1451	246	301	902	AT1G50370	9
AT1G50380.1	11	2586	170	292	2122	AT1G50380	10
AT1G50390.1	4	437	0	0	437	AT1G50390	3
AT1G50400.1	11	1146	0	223	922	AT1G50400	10
AT1G50410.1	11	3315	187	190	2936	AT1G50410	10
AT1G50420.1	2	1949	249	250	1448	AT1G50420	1
AT1G50430.1	13	1626	96	242	1286	AT1G50430	12
AT1G50440.1	7	1235	226	260	747	AT1G50440	6
AT1G50450.1	13	1414	22	116	1274	AT1G50450	12
AT1G50460.1	9	2065	346	229	1488	AT1G50460	8
AT1G50470.1	2	364	0	0	364	AT1G50470	1
AT1G50480.1	5	2264	112	250	1900	AT1G50480	4
AT1G50490.1	6	912	174	199	537	AT1G50490	5
AT1G50500.2	24	2883	134	226	2521	AT1G50500	23
AT1G50510.1	13	1366	116	267	981	AT1G50510	12
AT1G50520.1	2	1752	2	148	1600	AT1G50520	1
AT1G50530.1	3	342	0	0	342	AT1G50530	2
AT1G50560.1	2	1982	67	355	1558	AT1G50560	1
AT1G50570.1	2	1519	187	164	1166	AT1G50570	1
AT1G50575.1	4	1173	112	142	917	AT1G50575	3
AT1G50580.1	1	1346	0	0	1346	AT1G50580	0
AT1G50590.1	6	927	0	0	927	AT1G50590	5
AT1G50600.1	2	2058	0	265	1792	AT1G50600	1
AT1G50603.1	1	101	0	0	101	AT1G50603	0
AT1G50610.1	3	2318	35	223	2058	AT1G50610	2
AT1G50620.1	4	2219	0	332	1886	AT1G50620	3
AT1G50630.1	4	1656	99	197	1358	AT1G50630	3
AT1G50640.1	1	1285	153	453	677	AT1G50640	0
AT1G50650.1	1	524	0	0	524	AT1G50650	0
AT1G50659.1	1	993	0	0	0	AT1G50659	0
AT1G50660.1	3	2925	448	300	2175	AT1G50660	2
AT1G50670.1	9	1039	189	229	619	AT1G50670	8
AT1G50680.1	1	1013	0	0	1013	AT1G50680	0
AT1G50690.1	2	875	161	192	520	AT1G50690	1
AT1G50691.1	1	248	0	0	248	AT1G50691	0
AT1G50700.1	8	2055	299	196	1558	AT1G50700	7
AT1G50710.1	13	1656	186	209	1259	AT1G50710	12
AT1G50720.1	1	464	0	0	464	AT1G50720	0
AT1G50730.1	21	2907	64	90	2751	AT1G50730	20
AT1G50732.1	2	548	92	99	355	AT1G50732	1
AT1G50735.1	1	886	0	0	0	AT1G50735	0
AT1G50740.1	3	785	188	238	357	AT1G50740	2
AT1G50750.1	5	2686	239	0	2446	AT1G50750	4
AT1G50760.1	2	259	0	0	259	AT1G50760	1
AT1G50770.1	2	1897	0	0	1897	AT1G50770	1
AT1G50780.1	4	968	0	0	968	AT1G50780	3
AT1G50790.1	1	2438	0	0	2438	AT1G50790	0
AT1G50800.1	2	682	0	0	682	AT1G50800	1
AT1G50810.1	1	4104	0	0	0	AT1G50810	0
AT1G50820.1	1	1586	0	0	1586	AT1G50820	0
AT1G50830.1	1	2671	76	287	2306	AT1G50830	0
AT1G50840.1	12	3557	169	245	3141	AT1G50840	11
AT1G50850.1	1	2244	0	0	0	AT1G50850	0
AT1G50860.1	1	3845	0	0	0	AT1G50860	0
AT1G50870.1	1	1190	0	0	1190	AT1G50870	0
AT1G50880.1	4	836	0	0	836	AT1G50880	3
AT1G50890.1	6	2871	286	123	2460	AT1G50890	5
AT1G50900.1	2	791	74	189	526	AT1G50900	1
AT1G50910.1	10	1917	93	329	1493	AT1G50910	9
AT1G50920.1	3	2391	116	258	2015	AT1G50920	2
AT1G50930.1	3	787	60	137	588	AT1G50930	2
AT1G50940.1	8	1381	70	225	1084	AT1G50940	7
AT1G50950.1	15	1767	144	181	1440	AT1G50950	14
AT1G50954.1	1	95	0	0	95	AT1G50954	0
AT1G50960.1	3	1008	0	0	1008	AT1G50960	2
AT1G50970.1	16	1694	0	0	1694	AT1G50970	15
AT1G50980.1	6	1107	0	0	1107	AT1G50980	5
AT1G50990.1	7	1517	0	0	1517	AT1G50990	6
AT1G51000.1	1	218	0	0	218	AT1G51000	0
AT1G51010.1	1	248	0	0	248	AT1G51010	0
AT1G51020.1	1	718	183	285	248	AT1G51020	0
AT1G51030.1	1	462	44	174	242	AT1G51030	0
AT1G51035.1	1	227	0	0	227	AT1G51035	0
AT1G51040.1	8	1570	0	0	1570	AT1G51040	7
AT1G51055.1	4	482	0	0	482	AT1G51055	3
AT1G51060.1	2	672	71	202	397	AT1G51060	1
AT1G51070.2	6	1181	140	166	873	AT1G51070	5
AT1G51080.1	1	1008	11	138	857	AT1G51080	0
AT1G51085.1	1	225	0	0	0	AT1G51085	0
AT1G51090.1	3	764	47	202	513	AT1G51090	2
AT1G51100.1	1	885	33	215	635	AT1G51100	0
AT1G51110.1	11	1451	50	180	1219	AT1G51110	10
AT1G51120.1	1	1058	0	0	1058	AT1G51120	0
AT1G51130.1	7	1552	143	202	1205	AT1G51130	6
AT1G51140.1	6	1619	139	344	1134	AT1G51140	5
AT1G51150.1	3	657	0	0	657	AT1G51150	2
AT1G51160.1	5	840	110	222	506	AT1G51160	4
AT1G51170.1	1	1434	52	166	1214	AT1G51170	0
AT1G51172.1	5	2041	0	0	2041	AT1G51172	4
AT1G51175.1	1	5621	0	0	0	AT1G51175	0
AT1G51190.1	9	2127	114	312	1699	AT1G51190	8
AT1G51200.1	3	1032	153	356	521	AT1G51200	2
AT1G51210.1	1	1301	0	0	1301	AT1G51210	0
AT1G51220.1	2	1301	114	173	1012	AT1G51220	1
AT1G51230.1	1	408	0	30	377	AT1G51230	0
AT1G51240.1	1	383	0	0	383	AT1G51240	0
AT1G51250.1	1	671	62	188	419	AT1G51250	0
AT1G51260.1	11	1333	128	83	1120	AT1G51260	10
AT1G51270.3	13	2015	66	46	1901	AT1G51270	12
AT1G51290.1	1	1133	0	0	1133	AT1G51290	0
AT1G51300.1	7	632	0	0	632	AT1G51300	6
AT1G51310.1	10	1759	68	205	1484	AT1G51310	9
AT1G51320.1	1	1127	0	0	1127	AT1G51320	0
AT1G51330.1	3	579	0	0	579	AT1G51330	2
AT1G51340.2	12	1858	23	297	1536	AT1G51340	11
AT1G51350.1	9	2432	95	342	1993	AT1G51350	8
AT1G51355.1	1	749	77	320	350	AT1G51355	0
AT1G51360.1	1	716	23	59	632	AT1G51360	0
AT1G51370.1	4	1703	85	311	1305	AT1G51370	3
AT1G51380.1	6	1446	77	194	1173	AT1G51380	5
AT1G51390.1	6	1246	82	340	822	AT1G51390	5
AT1G51400.1	1	559	89	148	320	AT1G51400	0
AT1G51402.1	2	498	144	171	181	AT1G51402	1
AT1G51405.1	5	1459	0	0	1459	AT1G51405	4
AT1G51410.1	6	972	0	0	972	AT1G51410	5
AT1G51420.1	8	1348	0	83	1264	AT1G51420	7
AT1G51430.1	7	886	0	409	476	AT1G51430	6
AT1G51440.1	1	1781	57	139	1583	AT1G51440	0
AT1G51450.1	2	1856	27	299	1528	AT1G51450	1
AT1G51460.1	9	2276	97	149	2028	AT1G51460	8
AT1G51470.1	13	1700	10	165	1523	AT1G51470	12
AT1G51480.1	2	2824	0	0	2824	AT1G51480	1
AT1G51490.1	13	1442	0	0	1442	AT1G51490	12
AT1G51500.1	8	2334	107	169	2056	AT1G51500	7
AT1G51510.1	4	975	96	272	605	AT1G51510	3
AT1G51520.2	10	1961	101	324	1534	AT1G51520	9
AT1G51530.2	9	1208	0	4	1203	AT1G51530	8
AT1G51538.1	1	2090	0	0	2090	AT1G51538	0
AT1G51540.1	6	1536	140	152	1242	AT1G51540	5
AT1G51550.1	3	2055	79	539	1435	AT1G51550	2
AT1G51560.1	9	1514	78	264	1170	AT1G51560	8
AT1G51570.1	1	2518	0	187	2330	AT1G51570	0
AT1G51580.1	8	1946	28	58	1858	AT1G51580	7
AT1G51590.1	14	2026	185	170	1669	AT1G51590	13
AT1G51600.1	8	1657	465	288	902	AT1G51600	7
AT1G51610.1	13	2032	373	296	1361	AT1G51610	12
AT1G51620.2	6	1224	87	148	987	AT1G51620	5
AT1G51630.1	6	1646	211	167	1266	AT1G51630	5
AT1G51640.1	1	2091	7	100	1982	AT1G51640	0
AT1G51645.1	3	1511	0	0	0	AT1G51645	2
AT1G51650.1	2	564	64	287	211	AT1G51650	1
AT1G51660.1	1	1624	251	271	1100	AT1G51660	0
AT1G51670.1	4	956	17	404	534	AT1G51670	3
AT1G51680.1	4	2025	87	254	1682	AT1G51680	3
AT1G51690.3	16	2320	48	474	1796	AT1G51690	15
AT1G51700.1	1	1119	195	338	584	AT1G51700	0
AT1G51710.1	17	1668	72	162	1432	AT1G51710	16
AT1G51720.1	16	2453	318	234	1899	AT1G51720	15
AT1G51730.1	11	1218	149	319	748	AT1G51730	10
AT1G51740.1	7	1258	219	111	926	AT1G51740	6
AT1G51745.1	5	2488	387	411	1688	AT1G51745	4
AT1G51750.1	1	1955	0	0	0	AT1G51750	0
AT1G51760.1	5	1679	142	217	1318	AT1G51760	4
AT1G51770.1	2	1349	129	0	1219	AT1G51770	1
AT1G51780.1	5	1526	89	132	1303	AT1G51780	4
AT1G51790.1	13	2947	162	146	2637	AT1G51790	12
AT1G51800.1	12	2865	54	136	2673	AT1G51800	11
AT1G51805.1	13	2951	98	209	2642	AT1G51805	12
AT1G51810.1	13	2653	429	0	2223	AT1G51810	12
AT1G51820.1	13	2645	0	0	2645	AT1G51820	12
AT1G51823.1	1	143	0	0	143	AT1G51823	0
AT1G51830.1	11	2071	0	0	2071	AT1G51830	10
AT1G51840.1	4	655	114	0	540	AT1G51840	3
AT1G51850.1	14	2701	0	116	2584	AT1G51850	13
AT1G51860.1	13	2660	0	0	2660	AT1G51860	12
AT1G51870.1	11	2503	0	0	2503	AT1G51870	10
AT1G51880.1	12	2631	0	0	2631	AT1G51880	11
AT1G51890.1	13	2762	0	143	2618	AT1G51890	12
AT1G51900.1	7	2318	0	0	2318	AT1G51900	6
AT1G51910.1	13	2618	0	0	2618	AT1G51910	12
AT1G51913.1	2	343	20	89	232	AT1G51913	1
AT1G51915.1	2	415	108	103	202	AT1G51915	1
AT1G51920.1	2	235	0	0	235	AT1G51920	1
AT1G51930.1	1	398	0	0	398	AT1G51930	0
AT1G51940.1	11	2310	176	187	1945	AT1G51940	10
AT1G51950.1	5	1534	354	379	799	AT1G51950	4
AT1G51960.1	3	1053	0	0	1053	AT1G51960	2
AT1G51965.1	2	1951	0	0	1951	AT1G51965	1
AT1G51970.1	1	374	0	0	374	AT1G51970	0
AT1G51980.1	13	1954	144	309	1499	AT1G51980	12
AT1G51990.1	4	1088	0	0	1088	AT1G51990	3
AT1G52000.1	4	2447	63	192	2190	AT1G52000	3
AT1G52010.1	1	2336	0	0	0	AT1G52010	0
AT1G52020.1	1	5771	0	0	0	AT1G52020	0
AT1G52030.2	4	2461	385	149	1925	AT1G52030	3
AT1G52040.1	4	1677	70	219	1386	AT1G52040	3
AT1G52050.1	4	1141	15	186	938	AT1G52050	3
AT1G52060.1	4	965	23	0	941	AT1G52060	3
AT1G52070.1	4	1220	23	251	944	AT1G52070	3
AT1G52080.1	5	2314	392	202	1718	AT1G52080	4
AT1G52087.1	8	2008	0	0	0	AT1G52087	7
AT1G52090.1	1	344	0	0	0	AT1G52090	0
AT1G52100.1	5	1549	69	168	1310	AT1G52100	4
AT1G52110.1	7	1841	0	0	1841	AT1G52110	6
AT1G52120.1	5	1568	72	118	1376	AT1G52120	4
AT1G52130.1	4	1448	0	0	1448	AT1G52130	3
AT1G52140.1	1	890	68	194	626	AT1G52140	0
AT1G52150.2	18	3415	716	201	2496	AT1G52150	17
AT1G52155.1	9	1213	0	261	951	AT1G52155	8
AT1G52160.1	11	2878	19	195	2662	AT1G52160	10
AT1G52170.1	1	73	0	0	0	AT1G52170	0
AT1G52180.1	2	373	0	0	373	AT1G52180	1
AT1G52185.1	1	199	0	0	0	AT1G52185	0
AT1G52190.1	4	2280	161	297	1820	AT1G52190	3
AT1G52191.1	4	413	0	0	413	AT1G52191	3
AT1G52200.1	4	894	121	202	569	AT1G52200	3
AT1G52210.1	1	4343	0	0	0	AT1G52210	0
AT1G52220.1	5	759	91	200	466	AT1G52220	4
AT1G52230.1	3	661	65	159	435	AT1G52230	2
AT1G52240.1	11	2035	220	0	1814	AT1G52240	10
AT1G52260.1	12	1825	123	98	1602	AT1G52260	11
AT1G52270.1	1	677	55	234	386	AT1G52270	0
AT1G52280.1	7	932	136	180	614	AT1G52280	6
AT1G52290.1	8	1827	86	217	1522	AT1G52290	7
AT1G52300.1	4	681	81	314	284	AT1G52300	3
AT1G52310.1	6	1972	169	147	1654	AT1G52310	5
AT1G52315.1	6	1062	23	0	1038	AT1G52315	5
AT1G52320.2	5	2583	65	123	2393	AT1G52320	4
AT1G52325.1	2	436	0	0	436	AT1G52325	1
AT1G52330.2	1	971	18	268	683	AT1G52330	0
AT1G52340.1	2	1180	120	202	856	AT1G52340	1
AT1G52342.1	1	514	65	184	263	AT1G52342	0
AT1G52343.1	2	847	0	98	748	AT1G52343	1
AT1G52347.1	2	626	0	0	0	AT1G52347	1
AT1G52350.1	1	73	0	0	0	AT1G52350	0
AT1G52360.2	25	3074	76	107	2889	AT1G52360	24
AT1G52370.1	7	1100	120	174	804	AT1G52370	6
AT1G52380.1	2	1723	162	237	1322	AT1G52380	1
AT1G52390.1	2	214	0	0	214	AT1G52390	1
AT1G52400.1	12	1904	98	229	1575	AT1G52400	11
AT1G52410.2	26	2551	33	262	2254	AT1G52410	25
AT1G52415.1	2	551	0	201	349	AT1G52415	1
AT1G52420.1	5	2606	343	251	2010	AT1G52420	4
AT1G52430.1	13	3398	0	0	3398	AT1G52430	12
AT1G52440.1	8	802	0	206	595	AT1G52440	7
AT1G52450.1	13	3398	0	0	3398	AT1G52450	12
AT1G52460.1	9	819	36	97	684	AT1G52460	8
AT1G52470.1	9	1015	129	185	699	AT1G52470	8
AT1G52490.1	4	1538	0	0	1538	AT1G52490	3
AT1G52500.2	10	1481	59	257	1163	AT1G52500	9
AT1G52510.1	12	1458	11	313	1132	AT1G52510	11
AT1G52520.1	2	2410	163	135	2110	AT1G52520	1
AT1G52530.1	2	1214	200	53	959	AT1G52530	1
AT1G52540.1	4	1609	319	239	1049	AT1G52540	3
AT1G52550.1	2	683	30	257	394	AT1G52550	1
AT1G52560.1	2	820	99	22	697	AT1G52560	1
AT1G52565.1	2	738	174	174	388	AT1G52565	1
AT1G52570.1	4	2466	35	0	2430	AT1G52570	3
AT1G52580.1	5	1019	0	93	925	AT1G52580	4
AT1G52590.1	5	771	41	214	514	AT1G52590	4
AT1G52600.1	8	869	124	208	535	AT1G52600	7
AT1G52610.1	1	2807	0	0	0	AT1G52610	0
AT1G52615.1	2	1452	0	0	0	AT1G52615	1
AT1G52618.1	1	515	99	157	257	AT1G52618	0
AT1G52620.1	1	2476	16	0	2459	AT1G52620	0
AT1G52630.1	6	1531	81	134	1314	AT1G52630	5
AT1G52640.1	1	1721	23	125	1571	AT1G52640	0
AT1G52650.1	4	1698	0	176	1520	AT1G52650	3
AT1G52660.1	3	1137	0	0	1137	AT1G52660	2
AT1G52670.1	9	1145	151	176	816	AT1G52670	8
AT1G52680.1	3	678	59	275	342	AT1G52680	2
AT1G52690.1	2	860	96	254	508	AT1G52690	1
AT1G52695.1	9	933	72	172	687	AT1G52695	8
AT1G52700.1	9	893	73	59	759	AT1G52700	8
AT1G52710.1	5	675	110	295	268	AT1G52710	4
AT1G52720.1	1	766	107	304	353	AT1G52720	0
AT1G52730.2	8	1371	189	155	1025	AT1G52730	7
AT1G52740.1	2	805	140	260	403	AT1G52740	1
AT1G52750.1	7	2268	52	319	1895	AT1G52750	6
AT1G52760.1	3	1216	52	166	996	AT1G52760	2
AT1G52770.1	2	1721	169	187	1363	AT1G52770	1
AT1G52780.1	1	3538	202	155	3179	AT1G52780	0
AT1G52790.1	3	930	0	0	930	AT1G52790	2
AT1G52800.1	3	942	0	0	942	AT1G52800	2
AT1G52810.1	4	866	0	0	866	AT1G52810	3
AT1G52820.1	3	1090	32	105	951	AT1G52820	2
AT1G52825.1	1	478	72	168	236	AT1G52825	0
AT1G52827.1	2	329	30	149	148	AT1G52827	1
AT1G52830.1	3	826	84	173	567	AT1G52830	2
AT1G52840.1	3	489	0	0	0	AT1G52840	2
AT1G52850.1	1	2203	0	0	0	AT1G52850	0
AT1G52855.1	1	552	154	190	206	AT1G52855	0
AT1G52857.1	2	148	0	0	148	AT1G52857	1
AT1G52860.1	1	36	0	0	0	AT1G52860	0
AT1G52870.2	6	1435	110	228	1095	AT1G52870	5
AT1G52880.1	3	1400	111	327	960	AT1G52880	2
AT1G52890.1	3	1277	37	287	951	AT1G52890	2
AT1G52900.1	2	598	0	0	598	AT1G52900	1
AT1G52905.1	2	496	144	208	142	AT1G52905	1
AT1G52910.1	3	777	56	194	525	AT1G52910	2
AT1G52920.1	6	1316	3	84	1227	AT1G52920	5
AT1G52930.1	7	1107	23	126	956	AT1G52930	6
AT1G52940.1	7	1193	0	8	1184	AT1G52940	6
AT1G52950.1	10	1691	0	0	1691	AT1G52950	9
AT1G52960.1	6	2985	0	0	0	AT1G52960	5
AT1G52970.1	1	449	0	0	449	AT1G52970	0
AT1G52980.1	11	1928	60	146	1720	AT1G52980	10
AT1G52990.1	4	938	0	0	938	AT1G52990	3
AT1G53000.1	8	1261	111	283	865	AT1G53000	7
AT1G53010.1	1	536	0	0	536	AT1G53010	0
AT1G53023.1	6	945	0	0	945	AT1G53023	5
AT1G53025.1	6	2023	148	247	1626	AT1G53025	5
AT1G53030.1	2	528	86	222	218	AT1G53030	1
AT1G53035.1	1	851	232	165	452	AT1G53035	0
AT1G53039.1	1	140	0	0	140	AT1G53039	0
AT1G53040.1	11	2163	291	256	1614	AT1G53040	10
AT1G53050.1	8	2822	528	215	2077	AT1G53050	7
AT1G53060.1	1	728	0	0	728	AT1G53060	0
AT1G53070.1	1	1040	37	183	818	AT1G53070	0
AT1G53080.1	1	851	0	0	851	AT1G53080	0
AT1G53090.1	8	2682	91	211	2378	AT1G53090	7
AT1G53100.1	5	1410	107	33	1268	AT1G53100	4
AT1G53110.1	4	2034	244	472	1316	AT1G53110	3
AT1G53120.1	10	1167	40	172	953	AT1G53120	9
AT1G53130.1	1	821	90	223	506	AT1G53130	0
AT1G53140.1	8	2636	32	156	2446	AT1G53140	7
AT1G53160.2	3	854	58	271	523	AT1G53160	2
AT1G53163.1	1	1024	29	91	902	AT1G53163	0
AT1G53165.3	21	2598	219	330	2047	AT1G53165	20
AT1G53170.1	1	915	155	201	557	AT1G53170	0
AT1G53180.1	2	1384	140	167	1075	AT1G53180	1
AT1G53190.1	7	1958	253	223	1480	AT1G53190	6
AT1G53200.1	8	2178	233	109	1834	AT1G53200	7
AT1G53210.1	7	2212	157	302	1751	AT1G53210	6
AT1G53220.1	1	73	0	0	0	AT1G53220	0
AT1G53230.1	2	1842	289	376	1175	AT1G53230	1
AT1G53233.1	2	1936	0	0	0	AT1G53233	1
AT1G53240.1	7	1505	134	350	1019	AT1G53240	6
AT1G53250.1	6	1327	116	99	1110	AT1G53250	5
AT1G53260.1	4	1404	464	125	813	AT1G53260	3
AT1G53265.1	1	377	0	0	377	AT1G53265	0
AT1G53270.1	1	1772	0	0	1772	AT1G53270	0
AT1G53280.1	8	1529	47	171	1309	AT1G53280	7
AT1G53282.1	2	315	0	73	241	AT1G53282	1
AT1G53285.1	2	437	18	209	208	AT1G53285	1
AT1G53290.1	7	1324	53	238	1031	AT1G53290	6
AT1G53300.1	7	2397	303	0	2093	AT1G53300	6
AT1G53310.1	11	3193	64	233	2894	AT1G53310	10
AT1G53320.1	4	1434	74	222	1136	AT1G53320	3
AT1G53325.1	1	506	0	0	506	AT1G53325	0
AT1G53330.1	1	1415	0	0	1415	AT1G53330	0
AT1G53340.1	1	2003	0	0	2003	AT1G53340	0
AT1G53345.1	1	1205	65	161	977	AT1G53345	0
AT1G53350.1	5	2779	0	0	2779	AT1G53350	4
AT1G53360.1	1	1031	0	0	1031	AT1G53360	0
AT1G53366.1	1	137	0	0	137	AT1G53366	0
AT1G53370.1	2	1066	0	0	1066	AT1G53370	1
AT1G53380.1	3	1879	253	264	1361	AT1G53380	2
AT1G53390.1	14	3694	149	227	3316	AT1G53390	13
AT1G53400.1	4	829	256	230	341	AT1G53400	3
AT1G53410.1	1	71	0	0	0	AT1G53410	0
AT1G53420.1	23	2839	0	0	2839	AT1G53420	22
AT1G53430.1	23	3330	130	128	3070	AT1G53430	22
AT1G53440.1	23	3085	0	0	3085	AT1G53440	22
AT1G53450.1	7	2143	275	511	1355	AT1G53450	6
AT1G53460.1	3	1133	122	67	942	AT1G53460	2
AT1G53470.1	5	2641	0	0	2641	AT1G53470	4
AT1G53480.1	2	842	0	261	580	AT1G53480	1
AT1G53490.1	10	2242	1193	140	907	AT1G53490	9
AT1G53500.1	3	2523	307	212	2002	AT1G53500	2
AT1G53510.1	10	2370	234	296	1838	AT1G53510	9
AT1G53520.1	5	969	39	69	859	AT1G53520	4
AT1G53530.1	4	912	102	305	503	AT1G53530	3
AT1G53540.1	1	647	47	125	473	AT1G53540	0
AT1G53541.1	1	110	0	0	110	AT1G53541	0
AT1G53542.1	1	185	0	0	185	AT1G53542	0
AT1G53543.1	1	155	0	0	155	AT1G53543	0
AT1G53550.1	1	1226	0	0	1226	AT1G53550	0
AT1G53560.1	4	647	22	165	458	AT1G53560	3
AT1G53570.1	11	2399	199	379	1819	AT1G53570	10
AT1G53580.1	8	1228	83	266	877	AT1G53580	7
AT1G53590.1	12	2623	240	137	2244	AT1G53590	11
AT1G53600.1	1	2153	0	0	2153	AT1G53600	0
AT1G53610.1	2	283	0	0	283	AT1G53610	1
